Product Name,Factory
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts
Wonka Bar - Fudge Mallows,Lot's O' Nuts
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts
Wonka Bar - Milk Chocolate,Wicked Choccy's
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's
Laffy Taffy,Sugar Shack
SweeTARTS,Sugar Shack
Nerds,Sugar Shack
Fun Dip,Sugar Shack
Fizzy Lifting Drinks,Sugar Shack
Everlasting Gobstopper,Secret Factory
Hair Toffee,The Other Factory
Lickable Wallpaper,Secret Factory
Wonka Gum,Secret Factory
Kazookles,The Other Factory
