Product Name,Region,Ship Mode,Factory,Orders,Units,Sales,Gross_Profit,Cost,Current Lead Time,Scenario Factory,Is_Current,Scenario Lead Time,Profit_Margin,Lead Time Reduction,Lead Time Reduction %,Speed_Score,Profit_Safety_Score,Speed_Normalized,Profit_Normalized,Optimization Score,Confidence_Score,Scenario Confidence,Risk
Everlasting Gobstopper,Gulf,Standard Class,Lot's O' Nuts,1,4,40.0,32.0,8.0,5.0,Lot's O' Nuts,False,4.5,0.784,0.5,10.0,0.5,0.9607843137254901,0.5,0.9607843137254901,0.7303921568627451,0.7303921568627451,Medium,Medium
Everlasting Gobstopper,Gulf,Standard Class,Secret Factory,1,4,40.0,32.0,8.0,5.0,Secret Factory,False,4.0,0.768,1.0,20.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9705882352941176,0.9705882352941176,High,Low
Everlasting Gobstopper,Gulf,Standard Class,Sugar Shack,1,4,40.0,32.0,8.0,5.0,Sugar Shack,False,4.75,0.8,0.25,5.0,0.25,0.9803921568627451,0.25,0.9803921568627451,0.6151960784313726,0.6151960784313726,Medium,Medium
Everlasting Gobstopper,Gulf,Standard Class,The Other Factory,1,4,40.0,32.0,8.0,5.0,The Other Factory,False,5.25,0.8160000000000001,-0.25,-5.0,-0.25,1.0,0.0,1.0,0.5,0.5,Medium,Medium
Everlasting Gobstopper,Gulf,Standard Class,Wicked Choccy's,1,4,40.0,32.0,8.0,5.0,Wicked Choccy's,False,4.25,0.776,0.75,15.0,0.75,0.9509803921568627,0.75,0.9509803921568627,0.8504901960784313,0.8504901960784313,High,Low
Everlasting Gobstopper,Interior,Standard Class,Lot's O' Nuts,1,3,30.0,24.0,6.0,5.0,Lot's O' Nuts,False,4.5,0.784,0.5,10.0,0.5,0.9607843137254901,0.5,0.9607843137254901,0.7303921568627451,0.7303921568627451,Medium,Medium
Everlasting Gobstopper,Interior,Standard Class,Secret Factory,1,3,30.0,24.0,6.0,5.0,Secret Factory,False,4.0,0.768,1.0,20.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9705882352941176,0.9705882352941176,High,Low
Everlasting Gobstopper,Interior,Standard Class,Sugar Shack,1,3,30.0,24.0,6.0,5.0,Sugar Shack,False,4.75,0.8,0.25,5.0,0.25,0.9803921568627451,0.25,0.9803921568627451,0.6151960784313726,0.6151960784313726,Medium,Medium
Everlasting Gobstopper,Interior,Standard Class,The Other Factory,1,3,30.0,24.0,6.0,5.0,The Other Factory,False,5.25,0.8160000000000001,-0.25,-5.0,-0.25,1.0,0.0,1.0,0.5,0.5,Medium,Medium
Everlasting Gobstopper,Interior,Standard Class,Wicked Choccy's,1,3,30.0,24.0,6.0,5.0,Wicked Choccy's,False,4.25,0.776,0.75,15.0,0.75,0.9509803921568627,0.75,0.9509803921568627,0.8504901960784313,0.8504901960784313,High,Low
Everlasting Gobstopper,Pacific,First Class,Lot's O' Nuts,1,6,60.0,48.0,12.0,2.0,Lot's O' Nuts,False,1.8,0.784,0.19999999999999996,9.999999999999998,0.4999999999999999,0.9607843137254901,0.4999999999999999,0.9607843137254901,0.730392156862745,0.730392156862745,Medium,Medium
